Dist̢ncia (mm);Medida 1;Medida 2; Medida 3;Medida 4
280;0.96;0.95;0.96;0.95
281;0.99;1.00;0.98;0.99
282;1.00;0.99;1.00;0.99
283;0.94;0.91;0.95;0.92
284;0.80;0.79;0.81;0.80
285;0.70;0.68;0.69;0.69
286;0.60;0.60;0.62;0.61
287;0.57;0.57;0.57;0.59
288;0.58;0.57;0.56;0.59
289;0.62;0.60;0.60;0.61
290;0.68;0.69;0.68;0.68
291;0.79;0.78;0.78;0.75
292;0.87;0.87;0.86;0.83
293;0.92;0.93;0.92;0.89
294;0.94;0.94;0.94;0.92
295;0.94;0.95;0.94;0.94
296;0.93;0.91;0.93;0.93
297;0.88;0.87;0.88;0.88
298;0.80;0.78;0.79;0.79
299;0.70;0.71;0.70;0.71
300;0.62;0.63;0.62;0.62
301;0.59;0.57;0.57;0.58
302;0.55;0.55;0.55;0.57
303;0.57;0.57;0.56;0.57
304;0.63;0.60;0.61;0.62
305;0.72;0.69;0.68;0.68
306;0.80;0.78;0.77;0.76
307;0.88;0.84;0.86;0.82
308;0.92;0.92;0.92;0.89
309;0.92;0.92;0.92;0.91
310;0.88;0.89;0.89;0.90
